Year,CO2_emissions
1990,12.02660923
1991,11.65485055
1992,11.07379165
1993,10.93025817
1994,10.75537534
1995,10.70862967
1996,11.04000324
1997,10.63756246
1998,10.54575967
1999,10.15331952
2000,10.09931602
2001,10.29363415
2002,10.10298472
2003,10.13870882
2004,9.950402591
2005,9.729424378
2006,9.886441614
2007,9.527586652
2008,9.617453045
2009,8.97178632
2010,9.453399722
2011,9.299036295
2012,9.451317705
2013,9.62420735
2014,9.088506897
2015,9.087290909
2016,9.073006686
2017,8.858293847
2018,8.536196091
2019,7.911621016
2020,7.588
2021,8.018
